Variable,Feature_Importance
Teus,0.556578568987298
HS_Group_Name_Finished Goods,0.12635495339574462
TCVUSD,0.10188970558988551
Average_Tariff,0.05335095100855566
US_Unemployment_Rate,0.028682439468719532
Foreign_Company_Country_Continent_Asia,0.016849947562703155
Container_LCL/FCL_LCL,0.0077865676537968555
US_Port_Coastal_Region_Southeast,0.0068690014755428035
us_company_size_large,0.005818163267890503
HS_Group_Name_Raw Input,0.005742341447660906
HS_Mixed,0.005543791570605139
US_Port_Coastal_Region_Northeast,0.005527262877162394
foreign_company_size_large,0.005352693285609258
HS_Group_Name_Edible with Processing,0.005181378118406253
us_company_size_medium,0.004490645086934852
Foreign_Country_Region_Southeast Asia,0.004365086654496575
carrier_size_large,0.0038547956405440105
US_Port_Coastal_Region_Southwest,0.003785426230320643
foreign_company_size_medium,0.0035398128812363086
Foreign_Company_Country_Continent_Unknown,0.0033404239122142086
Container_Type_Dry,0.0028932608898284695
Foreign_Country_Region_Other East Asia (not China),0.0028725533276765898
us_company_size_small,0.0028347952863320407
US_Port_Coastal_Region_Northwest,0.0026812184457862174
Foreign_Country_Continent_Asia,0.002464916578473599
foreign_company_size_unknown,0.002329238817293481
foreign_company_size_small,0.0021774620416381263
Foreign_Country_Region_South Asia,0.0019686359588251055
HS_Group_Name_Pharma,0.0017407476181537655
carrier_size_medium,0.0016709043476849342
US_Port_Coastal_Region_Other,0.001631645539178648
us_company_size_micro,0.0014023838750183175
Foreign_Country_Continent_North America,0.00137497942294929
Foreign_Company_Country_Continent_North America,0.0013254779273970767
Foreign_Country_Region_North America,0.0013151990571713564
Container_Type_Refrigerated,0.0012575582087323979
Foreign_Country_Continent_South America,0.0011690476263392523
Foreign_Country_Region_Other Europe (not European Union),0.0011168807278701454
foreign_company_size_micro,0.001107905870135385
Foreign_Country_Region_South America,0.001107663776422303
HS_Group_Name_Vices,0.0010843637126473366
Foreign_Country_Region_Middle East & North Africa,0.0010821715620972963
Foreign_Company_Country_Continent_Europe,0.0010771461034608438
Foreign_Company_Country_Continent_South America,0.0009706558455156695
Foreign_Country_Continent_Europe,0.0009354832627905751
Foreign_Country_Region_European Union,0.0008490857932814546
us_company_size_unknown,0.0008344446655223832
Foreign_Country_Region_Sub Saharan Africa,0.0004713048229740006
Foreign_Company_Country_Continent_Oceania,0.000405225858380399
Foreign_Country_Continent_Oceania,0.00030781747465133603
Foreign_Country_Region_Oceania,0.00030450858621238803
carrier_size_small,0.0002767694121295943
carrier_size_micro,3.0864118544006433e-05
US_Port_Coastal_Region_NOT DECLARED,2.372732355899556e-05
